text,start,end,confidence
Have,0.0,0.1,0.781
you,0.1,0.24,0.998
ever,0.24,0.4,0.994
pondered,0.4,0.82,0.99
how,0.82,0.96,0.995
deeply,0.96,1.34,0.997
the,1.34,1.56,0.998
internet,1.56,1.86,0.623
has,1.86,2.12,0.986
transformed,2.12,2.58,0.99
our,2.58,2.84,0.992
lives?,2.84,3.28,0.998
How,3.8,3.94,0.979
it's,3.94,4.14,0.909
become,4.14,4.32,0.998
a,4.32,4.5,0.999
double-edged,4.5,5.08,0.943
"sword,",5.08,5.46,1.0
making,5.8,6.02,0.971
information,6.02,6.54,0.995
sharing,6.54,6.9,0.665
swift,6.9,7.3,0.982
and,7.3,7.54,0.994
"efficient,",7.54,8.0,0.995
yet,8.42,8.56,0.919
simultaneously,8.64,9.26,0.993
opening,9.26,9.78,0.994
the,9.78,10.02,0.982
f-,10.02,10.36,0.318
